trial,score,anchor_dominance_penalty,average_alpha,cheek_edge_overlap,edge_overlap_face,eligible,face_luma_mae,failed_gates,gray_slab_penalty,lane_clutter_penalty,lane_words,lower_face_brightness_penalty,mouth_banding_penalty,nose_bridge_edge_overlap,protected_dark_zone_fill_ratio,total_words_drawn,anchor_size_scale,anchor_alpha_scale,lane_word_spacing,lane_word_count_multiplier,contour_alpha_min,contour_alpha_max,tone_alpha_min,tone_alpha_max,shadow_alpha_min,shadow_alpha_max,dark_zone_suppression,luma_modulation_strength,cheek_lane_multiplier,nose_lane_multiplier,jitter_strength,structure_layer_opacity
0,-6.0071401263736535,0.02065905599472577,110.98748370273795,0.130779392338177,0.23319395303956256,False,33.73877716064453,"protected_dark_zone_fill_ratio,lane_words,gray_slab_penalty,mouth_banding_penalty",0.3369445752865442,1.8164665413533454,328,0.357783453805106,1.0,0.1423290203327172,0.13303189341945904,3835,0.6973709203936791,0.7977422862000487,13.837413015764714,1.8609100597470016,125,215,102,179,39,91,0.6523131048569095,0.4406244727909234,2.427363193201222,1.2167631935425332,4.428149382807203,0.8562602927725961
1,-6.270033295452951,0.13038251349126873,101.15532194480946,0.05078597339782346,0.10978102189781022,False,39.73528289794922,"lane_words,face_luma_mae,gray_slab_penalty,mouth_banding_penalty,anchor_dominance_penalty",0.3306837808133145,1.4206172363199228,305,0.334144537789481,1.0,0.07894736842105263,0.09151392813887768,3805,0.7939202428962642,0.88592661361263,13.62999844367052,2.048281762486608,131,190,81,151,30,94,0.6515580500867122,0.2335530783116886,1.0193680656627349,2.204026892736967,2.926720917099541,0.8523715776076232
2,-7.467729789140338,0.05813192315107941,96.77158362111494,0.12368421052631579,0.18517350157728707,False,37.657188415527344,"lane_words,face_luma_mae,gray_slab_penalty,mouth_banding_penalty",0.33433427539645155,2.9545213965073343,531,0.3249276842389788,1.0,0.11743119266055047,0.08298748486071861,4054,0.7139696702864378,0.8383982809325027,6.709363969541953,1.6281708930782246,147,233,89,162,26,71,0.5298158366279547,0.3200342879655067,1.8959182691597545,1.0910959154313113,3.720844478822965,0.7797108350696907
3,-6.200206815847912,0.004799170310294,94.06405880808612,0.09254498714652956,0.15965612526865214,False,38.55936813354492,"protected_dark_zone_fill_ratio,lane_words,face_luma_mae,gray_slab_penalty,mouth_banding_penalty",0.3565316376197205,1.5443934818428704,289,0.40899053301130023,1.0,0.09705372616984402,0.09708518368994752,3809,0.666616854437867,0.7912006611326272,13.97451601566709,1.7785221659286987,141,223,86,139,41,83,0.5977308447277363,0.3372508269158049,2.384334087367521,1.2933516205715523,4.7602121691548325,0.9854895678457836
4,-6.823489104178134,0.0,88.58746736292429,0.04974489795918367,0.112369871402327,False,43.79570770263672,"lane_words,face_luma_mae,gray_slab_penalty,mouth_banding_penalty",0.36911210551106927,1.6254560846151689,318,0.3853030068533761,1.0,0.08348457350272233,0.03552684699232943,3830,0.6136705965773752,0.6433026586106156,13.881686922001943,1.8853178510047641,159,226,74,153,40,78,0.39841238804492946,0.20246004975558313,2.161933930308048,1.547361424778906,4.793949274974039,0.9746643519061833
5,-5.608225101792417,0.004747340618514786,99.26289734236582,0.13797634691195795,0.22338072669826226,False,34.12028503417969,"protected_dark_zone_fill_ratio,lane_words,gray_slab_penalty,mouth_banding_penalty",0.3182014444967813,1.6848838482834305,320,0.3208024161202567,1.0,0.1369150779896014,0.11375050464271295,3838,0.6525248841736414,0.7891482125803829,11.081373892907127,1.5356501161189304,130,199,98,164,34,77,0.6038156884300514,0.40111668593829514,1.9365964842763845,1.1262913352509463,2.1230775458903195,0.8084891358709652
6,-4.934609826641807,0.1560382109219673,99.7264502394891,0.07134071340713408,0.09342857142857143,False,38.37106704711914,"face_luma_mae,gray_slab_penalty,mouth_banding_penalty,anchor_dominance_penalty",0.3106453132359868,0.9920137277064004,213,0.25960796901157923,0.7912917458274148,0.09294320137693632,0.08025837706903512,3758,0.8348320682700149,0.6580096134578387,9.613872483972651,1.0576614085782117,139,238,82,173,31,75,0.596341508645086,0.2023543618829975,1.7213802398979512,1.2101293179846868,4.905837163165116,0.6576466069815776
7,-8.199503152667102,0.14002283616219788,99.15495086923659,0.06374501992031872,0.11627200971463267,False,42.063819885253906,"lane_words,face_luma_mae,gray_slab_penalty,mouth_banding_penalty,anchor_dominance_penalty",0.3619681268644999,2.7680391542368556,507,0.4018901824951172,1.0,0.09328358208955224,0.09091643116673395,3969,0.8209145407701877,0.7962036136511772,6.599356844197772,1.176479464931867,150,237,75,131,43,93,0.6154937811132402,0.2556625309129912,2.3595435866395578,2.5251190634250262,1.8049931302961433,0.966334603126048
8,-5.1971210827470005,0.1494040103742311,83.40533333333333,0.10012360939431397,0.18871473354231974,False,36.7219123840332,"gray_slab_penalty,mouth_banding_penalty,anchor_dominance_penalty",0.3159051656460983,1.1020187197393434,258,0.2557690211704799,1.0,0.1260647359454855,0.0504158255954784,3750,0.8324784176521884,0.8825155695179527,13.341916023364998,1.6144182577664727,122,208,81,150,29,83,0.39548776426434673,0.32431930031626244,1.2647707557972319,1.745662662580242,4.435703450303703,0.7555998903800387
9,-6.342181632409318,0.06854969119869636,100.85191770383541,0.10841836734693877,0.1860831234256927,False,36.97127914428711,"lane_words,gray_slab_penalty,mouth_banding_penalty",0.3268370230805464,2.049057373395612,376,0.3199570792061942,1.0,0.11819887429643527,0.08482842147759387,3937,0.7372374762297343,0.8082175571806887,13.032187569805146,1.899896797890057,120,228,80,177,27,88,0.5152278884524859,0.32918676539281716,2.0198813198864305,2.3616258721186627,3.3393165681600996,0.8090744665429861
